Product,Positive%,Negative%
high-dome floor door stop,100.0,0.0
mill creek aloe vera & paba lotion,100.0,0.0
reebok classic leather running shoes - white (men),100.0,0.0
"smead174 recycled letter size manila file backs w/prong fasteners, 2 capacity, 100/box",100.0,0.0
plum organics just prunes,100.0,0.0
annie's homegrown deluxe elbows & four cheese sauce,100.0,0.0
charcoal stone toothbrush holder gray,100.0,0.0
germ guardian174 elite 3-in-1 pet pure true hepa air purifier ac4300bptca,100.0,0.0
"bodycology nourishing body cream, pretty in paris",100.0,0.0
bi-o-kleen spray & wipe all purpose cleaner,100.0,0.0
"jergens extra moisturizing liquid hand wash, 7.5oz",100.0,0.0
lite source basic ii 1-lt floor lamp - dark bronze,100.0,0.0
if a man answers (dvd),100.0,0.0
pleasant hearth diamond fireplace screen - espresso,100.0,0.0
wilton black dots standard baking cups,100.0,0.0
citrus magic instant spot & stain remover,100.0,0.0
happy tot apple and butternut squash,100.0,0.0
herr's baked cheese curls,100.0,0.0
every man jack pomade signature mint scent,100.0,0.0
fantasy fields lil' sports fan step stool - teamson,100.0,0.0
ambi complexion cleansing bar,100.0,0.0
chips deluxe soft 'n chewy cookies,100.0,0.0
roommates no place like home peel stick wall decals,100.0,0.0
avery174 11-1/4 x 9-1/4 index maker extra wide label dividers with 5 tab - clear (5 sets per pack),100.0,0.0
sea gull lighting holman one light wall/bath sconce - brushed nickel,100.0,0.0
gain original scent liquid fabric softener 129 oz,100.0,0.0
nature's path chunky chocolate peanut chewy granola bars,100.0,0.0
noosa honey yogurt,100.0,0.0
mrs. meyer's174 lemon verbena laundry scent booster - 18oz,100.0,0.0
naturtint nutrideep multiplier protective cream,100.0,0.0
cantu coconut milk shine hold mist - 8oz,100.0,0.0
craft punch giga scallop circle 45 24687534 to 334,100.0,0.0
disney174 jake and the neverland pirates 4 piece bedding set - toddler,100.0,0.0
greyson vintage industrial occasional cocktail coffee table - antique bronze - baxton studio,100.0,0.0
sea gull lighting six light bath sconce/vanity - brushed nickel,100.0,0.0
walkers stem ginger shortbread,100.0,0.0
weleda everon lip balm,100.0,0.0
romantic drama: greatest classic films collection 2 discs,100.0,0.0
udi's pepperoni pizza,100.0,0.0
cal lighting led dark bronze finish metal piano lamp,100.0,0.0
"colorganics lipstick, cayenne",100.0,0.0
ceiling fan with light white 14.2 x 29.9 x 9.2 - hunter fan,100.0,0.0
"carson-dellosa publishing photographic learning cards boxed set, nouns/verbs/adjectives, grades k-12",100.0,0.0
la tortilla factory hand made style tortillas flour,100.0,0.0
blue anchor design throw pillow (18x18) - rizzy home,100.0,0.0
clorox ultimate care premium bleach,100.0,0.0
"physicians formula powder palette mineral glow pearls, translucent pearl",100.0,0.0
southern enterprises archer fold-away home bar in walnut,100.0,0.0
"cetaphil gentle skin cleanser, 2oz",100.0,0.0
stacy's garden veggie medley pita chips,100.0,0.0
ogx anti-breakage keratin oil 3 minute miraculous recovery,100.0,0.0
"42 dual drop leaf table with 2 madrid chairs""",100.0,0.0
black sister's revenge (dvd),100.0,0.0
sea gull lighting ceiling fan - white,100.0,0.0
pearhead id bracelet frame,100.0,0.0
solo foods almond paste,100.0,0.0
pink friday: roman reloaded re-up (w/dvd),100.0,0.0
yes to carrots nourishing body wash,100.0,0.0
"iman luxury moisturizing lipstick, black brandy 006",100.0,0.0
nature's path flax plus maple pecan crunch cereal,100.0,0.0
lynk professional174 pull out cutting board bakeware sliding cabinet organizer,100.0,0.0
king ralph (dvd),100.0,0.0
"smead174 2 1/4 inch accordion expansion wallet, poly, letter, translucent green",100.0,0.0
progresso traditional chicken rice with vegetables soup,100.0,0.0
moom express pre waxed strips for face & bikini,100.0,0.0
tostitos original restaurant style tortilla chips,100.0,0.0
meguiars interior detailer wipes 25ct,100.0,0.0
various - country's greatest gospel:gold ed (cd),100.0,0.0
"candy pink plastic cups, 20 pk",100.0,0.0
"j.r. watkins hand cream, lemon cream",100.0,0.0
elvis presley - girl happy (cd),100.0,0.0
tramontina ceramica 10 piece cookware set - red,100.0,0.0
kind nut delight bar,100.0,0.0
"pinaud clubman styling gel, superhold",100.0,0.0
lundberg organic cinnamon toast rice cakes,100.0,0.0
sea gull lighting one light wall/bath/vanity-brushed nickel,100.0,0.0
pacific natural foods organic beef broth,100.0,0.0
"the seaweed bath co. argan conditioner, smoothing citrus",100.0,0.0
jnh lifestyles goldstar 3 person far infrared sauna,100.0,0.0
starbucks153 doubleshot protein coffee - 11 fl oz,100.0,0.0
sopranos:season 6 part 1 (blu-ray),97.06,2.94
l'or233al paris elvive extraordinary clay rebalancing conditioner - 12.6 fl oz,96.8,3.2
"pleasant hearth 1,800 sq ft wood burning stove with blower, medium, lws-127201",96.23,3.77
my big fat greek wedding 2 (blu-ray + dvd + digital),95.21,4.79
red (special edition) (dvdvideo),94.64,5.36
stargate (ws) (ultimate edition) (director's cut) (dvdvideo),94.62,5.38
kraus fvs-1007 single hole vessel bathroom faucet from the ramus collection,94.59,5.41
vaseline intensive care healthy hands stronger nails,93.75,6.25
pantene pro-v expert collection age defy conditioner,93.38,6.62
mrs. meyer's lemon verbena surface scrub,93.33,6.67
eagle fat free sweetened condensed milk,93.33,6.67
"iman second to none stick foundation, clay 1",93.33,6.67
meguiar's ultimate quik detailer 22-oz.,93.1,6.9
"avery174 ready index contemporary table of contents divider, 1-8, multi, letter",92.97,7.03
100:complete first season (blu-ray),92.81,7.19
planes: fire rescue (2 discs) (includes digital copy) (blu-ray/dvd),92.74,7.26
jolly time select premium yellow pop corn,92.59,7.41
care free curl gold instant activator,92.31,7.69
clorox disinfecting bathroom cleaner,92.25,7.75
cuisinart174 electric juicer - stainless steel cje-1000,92.23,7.77
"storkcraft tuscany glider and ottoman, beige cushions, espresso finish",92.05,7.95
delta single handle shower faucet,91.67,8.33
"better built 74010862 bet74010862 60in crossover two lid, deep, truck tool box",91.67,8.33
"l'oreal paris colour caresse wet shine stain, pink resistance",91.3,8.7
"ogx conditioner, hydrating teatree mint",91.3,8.7
tresemme kertatin smooth infusing conditioning,91.23,8.77
cars toon: mater's tall tales,91.18,8.82
"aussie aussome volume shampoo, 13.5 oz",91.01,8.99
"physicians formula mineral wear talc-free mineral correcting powder, creamy natural",90.91,9.09
"way basics 3-shelf eco narrow bookcase storage shelf, espresso - formaldehyde free - lifetime guarantee",90.91,9.09
"ben & jerry's coffee, coffee buzzbuzzbuzz! ice cream, pint",90.91,9.09
mia shower curtain green/brown - lush decor174,90.91,9.09
hawaiian punch berry limeade blast juice,90.91,9.09
